,Unix Time,Microseconds,easting,northing,Heading (degrees)
0,1722679318,48000,525691.7383714194,5681199.479944694,289.661433012534
1,1722679318,53000,525691.7386632471,5681199.47982222,289.6612387315976
2,1722679318,58000,525691.7389554596,5681199.47969678,289.6610250225676
3,1722679318,63000,525691.7393070199,5681199.47954329,289.6606753168821
4,1722679318,68000,525691.7343422924,5681199.483385805,289.6608695978185
5,1722679318,73000,525691.734608498,5681199.483274606,289.66088902591207
6,1722679318,78000,525691.7348770063,5681199.483165019,289.6608307416312
7,1722679318,83000,525691.7351476307,5681199.483057539,289.6610055944739
8,1722679318,88000,525691.7354205598,5681199.482952485,289.6610250225676
9,1722679318,93000,525691.7356954367,5681199.48284845,289.661219303504
10,1722679318,98000,525691.7359712442,5681199.4827443175,289.66137472825307
11,1722679318,103000,525691.7362475577,5681199.482639027,289.6614912968149
12,1722679318,108000,525691.7365240667,5681199.482531589,289.6617438620322
13,1722679318,113000,525691.7368010922,5681199.48242272,289.66151072490857
14,1722679318,118000,525691.7370784021,5681199.482312848,289.6616078653768
15,1722679318,123000,525691.7373565054,5681199.4822022645,289.661646721564
16,1722679318,128000,525691.7376354852,5681199.482090983,289.6617050058449
17,1722679318,133000,525691.7379155037,5681199.481978045,289.6615495810958
18,1722679318,138000,525691.7382529505,5681199.481840106,289.6612970158785
19,1722679318,143000,525691.7384790241,5681199.481746668,289.66137472825307
20,1722679318,148000,525691.7387630587,5681199.481628743,289.6612387315976
21,1722679318,153000,525691.7390488987,5681199.481511391,289.6613358720658
22,1722679318,158000,525691.7393364438,5681199.481395529,289.661433012534
23,1722679318,163000,525691.7366143669,5681199.482836954,289.6614912968149
24,1722679318,168000,525691.7368869691,5681199.482732151,289.6616078653768
25,1722679318,173000,525691.7371606522,5681199.482627307,289.6616078653768
26,1722679318,178000,525691.7374349324,5681199.482521243,289.6616078653768
27,1722679318,183000,525691.7377099181,5681199.482413068,289.6613553001594
28,1722679318,188000,525691.7380406348,5681199.4822798455,289.66147186872126
29,1722679318,193000,525691.7382617968,5681199.482190209,289.66156900918946
30,1722679318,198000,525691.738539004,5681199.482077633,289.661433012534
31,1722679318,203000,525691.7388171671,5681199.481965198,289.66137472825307
32,1722679318,208000,525691.7390966899,5681199.481853087,289.66147186872126
33,1722679318,213000,525691.7393775088,5681199.481740459,289.6614135844404
34,1722679318,218000,525691.7396592117,5681199.481626914,289.66127758778487
35,1722679318,223000,525691.7399418801,5681199.48151228,289.661219303504
36,1722679318,228000,525691.7402258578,5681199.481396313,289.661433012534
37,1722679318,233000,525691.7405112637,5681199.481279897,289.6614135844404
38,1722679318,238000,525691.7407983816,5681199.481164275,289.661161019223
39,1722679318,243000,525691.741086776,5681199.481049454,289.660947310193
40,1722679318,248000,525691.7413767444,5681199.480935014,289.660947310193
41,1722679318,253000,525691.7416677722,5681199.480819837,289.6611415911294
42,1722679318,258000,525691.7419593568,5681199.480702829,289.661219303504
43,1722679318,263000,525691.7373689321,5681199.481709493,289.66001476169833
44,1722679318,268000,525691.7376343791,5681199.481593344,289.65995647741744
45,1722679318,273000,525691.73790136,5681199.481476551,289.6610055944739
46,1722679318,278000,525691.73817017,5681199.481360546,289.6609667382867
47,1722679318,283000,525691.7384407071,5681199.481245905,289.6608695978185
48,1722679318,288000,525691.738712692,5681199.48113201,289.6610638787548
49,1722679318,293000,525691.7389858951,5681199.481017999,289.6609278820994
50,1722679318,298000,525691.7392599754,5681199.4809025945,289.6611415911294
51,1722679318,303000,525691.7395347542,5681199.480784881,289.6610638787548
52,1722679318,308000,525691.7398105919,5681199.480664963,289.6611027349421
53,1722679318,313000,525691.7400883613,5681199.480543644,289.6610250225676
54,1722679318,318000,525691.7403682205,5681199.480422813,289.660947310193
55,1722679318,323000,525691.7406504239,5681199.480303762,289.6609667382867
56,1722679318,328000,525691.7409918224,5681199.480163257,289.6610638787548
57,1722679318,333000,525691.7412203185,5681199.480070701,289.661161019223
58,1722679318,338000,525691.7415063898,5681199.479955167,289.6611027349421
59,1722679318,343000,525691.7417926303,5681199.479838659,289.661219303504
60,1722679318,348000,525691.7420794123,5681199.479720485,289.6613358720658
61,1722679318,353000,525691.7423672122,5681199.479601399,289.6612970158785
62,1722679318,358000,525691.7399973075,5681199.481457054,289.6610055944739
63,1722679318,363000,525691.7403261419,5681199.481325135,289.660947310193
64,1722679318,368000,525691.7406017913,5681199.4812149955,289.66088902591207
65,1722679318,373000,525691.740822986,5681199.481125557,289.6608307416312
66,1722679318,378000,525691.7411000357,5681199.48101167,289.6606947449757
67,1722679318,383000,525691.7413769985,5681199.480895313,289.6608113135375
68,1722679318,388000,525691.741654541,5681199.480776757,289.6611415911294
69,1722679318,393000,525691.7419337438,5681199.4806581875,289.6611998754103
70,1722679318,398000,525691.7422153795,5681199.480541226,289.6610638787548
71,1722679318,403000,525691.7424996085,5681199.480427338,289.6611027349421
72,1722679318,408000,525691.7427864547,5681199.4803165365,289.661161019223
73,1722679318,413000,525691.743075366,5681199.4802071,289.6610638787548
74,1722679318,418000,525691.7433654206,5681199.4800977595,289.660947310193
75,1722679318,423000,525691.7436559775,5681199.479987139,289.66079188544387
76,1722679318,428000,525691.7439467289,5681199.479874217,289.6608113135375
77,1722679318,433000,525691.7442383907,5681199.479759835,289.660733601163
78,1722679318,438000,525691.7445314412,5681199.47964512,289.6606753168821
79,1722679318,443000,525691.7448263707,5681199.479530457,289.6606170326011
80,1722679318,448000,525691.7451237225,5681199.479415821,289.6605393202266
81,1722679318,453000,525691.7454229519,5681199.47929995,289.6604033235712
